,precision,accuracy,recall,duration,f1,auc,iter,fold,tune,model,dataset
1292,0.7282788671023965,0.7522123893805309,0.7228659788936705,24.32140207290649,0.7250027709245858,0.8641277348009265,3,3,4,cnnM,WESAD
1293,0.6567801102629347,0.6814159292035398,0.6310661341695001,19.632235050201412,0.6415260870433931,0.8255915858565656,4,4,4,cnnM,WESAD
1294,0.7372885979268958,0.7300884955752213,0.6486228410315305,33.432998180389404,0.6732809766865494,0.8385298045718194,5,5,4,cnnM,WESAD
1295,0.1047197640117994,0.3141592920353982,0.3333333333333333,1091.0916051864624,0.15937149270482606,0.5125812133451187,1,1,4,encoderM,WESAD
1296,0.17404129793510326,0.5221238938053098,0.3333333333333333,1005.5461013317108,0.22868217054263565,0.5,2,2,4,encoderM,WESAD
1297,0.17404129793510326,0.5221238938053098,0.3333333333333333,1007.7260267734528,0.22868217054263565,0.5,3,3,4,encoderM,WESAD
1298,0.054572271386430685,0.16371681415929204,0.3333333333333333,1008.1747879981996,0.09378960709759188,0.5223493964243546,4,4,4,encoderM,WESAD
1299,0.054572271386430685,0.16371681415929204,0.3333333333333333,1015.6262788772583,0.09378960709759188,0.5,5,5,4,encoderM,WESAD
1300,0.9220779220779222,0.8407079646017699,0.7274457556147698,546.9693052768706,0.7651131221719457,0.898686284756946,1,1,4,fcnM,WESAD
1301,0.9288888888888888,0.8584070796460177,0.7462250983377744,285.74415493011475,0.7802985074626866,0.921270100370124,2,2,4,fcnM,WESAD
1302,0.9537712895377131,0.915929203539823,0.8374571754853445,182.55455088615417,0.8709862892525431,0.8897799685577198,3,3,4,fcnM,WESAD
1303,0.9384314934731216,0.8893805309734514,0.7939014450114952,377.4641501903534,0.8262256866030451,0.8859426984874587,4,4,4,fcnM,WESAD
1304,0.8977591036414566,0.8362831858407079,0.7246208968577076,272.9145245552063,0.7603216213157608,0.9035058572537684,5,5,4,fcnM,WESAD
1305,0.9050505050505052,0.7920353982300885,0.6240324831874128,2056.0496129989624,0.6008614582608708,0.8661676118706435,1,1,4,inceptionM,WESAD
1306,0.5035743464052288,0.6460176991150443,0.4703986631654333,1431.5428190231326,0.4441372247823861,0.803426606362868,2,2,4,inceptionM,WESAD
1307,0.9007936507936508,0.7787610619469026,0.6530897094277376,1224.756947517395,0.6933727759998947,0.7965709204071582,3,3,4,inceptionM,WESAD
1308,0.4949649180208674,0.6858407079646017,0.5220020689106389,1144.5453355312347,0.4939400657724569,0.5755421212570891,4,4,4,inceptionM,WESAD
1309,0.5240328776914143,0.6725663716814161,0.5023076310973184,1084.2937922477722,0.4832539682539682,0.6232098653917704,5,5,4,inceptionM,WESAD
1310,0.7563993863049095,0.7256637168141593,0.6391869310226913,37.20325827598572,0.6471102966586666,0.7834412951982778,1,1,4,mcdcnnM,WESAD
1311,0.8822529918366525,0.8495575221238938,0.8054352992285674,38.82974863052368,0.8342521334033547,0.8906859234503064,2,2,4,mcdcnnM,WESAD
1312,0.8419519519519519,0.7831858407079646,0.7180507076663677,32.22094464302063,0.7300810436871114,0.8642696766950765,3,3,4,mcdcnnM,WESAD
1313,0.7818684583390466,0.7168141592920354,0.6444624380886018,22.730982780456547,0.6791148897030262,0.7935971301929765,4,4,4,mcdcnnM,WESAD
1314,0.7564518945346603,0.7566371681415929,0.7009542366429452,24.300392866134644,0.7156608097784569,0.8200784336496918,5,5,4,mcdcnnM,WESAD
1315,0.9491416599080832,0.9115044247787609,0.8198198198198199,1198.1292793750765,0.8493756062383513,0.8678174175607931,1,1,4,resnetM,WESAD
1316,0.9533950617283952,0.9203539823008848,0.8378378378378378,780.5767977237701,0.8681282485630311,0.8778611507186346,2,2,4,resnetM,WESAD
1317,0.9237472766884532,0.8451327433628318,0.6976272046694582,454.33501291275024,0.6957870709231244,0.8671646999111787,3,3,4,resnetM,WESAD
1318,0.9277104632083808,0.8849557522123894,0.7657657657657658,487.4006094932556,0.7808692218781158,0.8837839988472597,4,4,4,resnetM,WESAD
1319,0.943661971830986,0.8938053097345132,0.7967263037685574,564.6021475791931,0.8299610529283394,0.8905230128672478,5,5,4,resnetM,WESAD
1320,0.7234222263424079,0.7256637168141593,0.6476679591981573,66.78985548019409,0.6695454356155256,0.8135630856447281,1,1,5,cnnM,WESAD
1321,0.8265716374269005,0.8584070796460177,0.8211564393230661,39.33544564247131,0.8215028799066252,0.9036875858909758,2,2,5,cnnM,WESAD
1322,0.7352817222727257,0.7256637168141593,0.6488163981599169,29.672858715057373,0.6754734848484848,0.8271534843509062,3,3,5,cnnM,WESAD
1323,0.7009803921568628,0.6769911504424779,0.5849522236488099,41.42184805870056,0.6121630245173844,0.8401841803608335,4,4,5,cnnM,WESAD
1324,0.6994522004723689,0.6902654867256637,0.6046466614621305,30.01146507263184,0.6261860522730088,0.7497252564094293,5,5,5,cnnM,WESAD
1325,0.3726622662266227,0.5398230088495575,0.37081244529322827,11130.519008159636,0.3232456140350877,0.6367723058460705,1,1,5,encoderM,WESAD
1326,0.5089285714285715,0.5309734513274337,0.3427230046948357,11235.041001558304,0.2482843333600363,0.5735802046974164,2,2,5,encoderM,WESAD
1327,0.30410175622848473,0.5132743362831859,0.3482533619797883,11215.01178073883,0.2955555555555556,0.5463961813329204,3,3,5,encoderM,WESAD
1328,0.4442946990116801,0.5619469026548672,0.379326808307472,11494.531334877014,0.32061794414735584,0.5822214551624911,4,4,5,encoderM,WESAD
1329,0.3749622926093514,0.5265486725663717,0.3417681228614626,10985.512680768968,0.2544377167106557,0.6083140313863636,5,5,5,encoderM,WESAD
1330,0.8862043251304996,0.8539823008849557,0.7415302626570233,342.58661437034607,0.7720753193846038,0.9065559950019249,1,1,5,fcnM,WESAD
1331,0.9360730593607306,0.8761061946902655,0.7606902677325212,407.0282192230225,0.7873841928312637,0.8993188402056868,2,2,5,fcnM,WESAD
1332,0.8509259259259259,0.8672566371681416,0.7469864230427611,565.9022102355958,0.7649515915363908,0.886108297363967,3,3,5,fcnM,WESAD
1333,0.9079754601226996,0.8008849557522124,0.6851922344880091,395.6161394119263,0.728767977412429,0.8728671079769194,4,4,5,fcnM,WESAD
1334,0.943661971830986,0.8938053097345132,0.7837837837837838,240.2724368572235,0.8092307692307692,0.9031284208534148,5,5,5,fcnM,WESAD
1335,0.6413255360623781,0.5929203539823009,0.4876962185389018,1626.8644034862518,0.4954553105239565,0.6825802885721719,1,1,5,inceptionM,WESAD
1336,0.515,0.6238938053097345,0.4431845309142994,1058.8730568885803,0.4119496855345912,0.7384779742741069,2,2,5,inceptionM,WESAD
1337,0.4872225813402285,0.6194690265486725,0.4484137993328731,1128.9091351032255,0.4262478892266126,0.7227761898924469,3,3,5,inceptionM,WESAD
1338,0.5461413649731265,0.6725663716814161,0.4985676772499403,1259.7906532287598,0.4897590298138865,0.7511016626557327,4,4,5,inceptionM,WESAD
1339,0.6250544662309369,0.668141592920354,0.5056669225922031,1061.5843715667722,0.4820384615384616,0.8544229954471062,5,5,5,inceptionM,WESAD
1340,0.8225004969191015,0.7477876106194691,0.6323145776475928,45.225709438323975,0.6221880481366405,0.8367125181997467,1,1,5,mcdcnnM,WESAD
1341,0.8564520402755696,0.7964601769911505,0.7177496187999889,28.847830533981323,0.7481127806324145,0.8580355241849632,2,2,5,mcdcnnM,WESAD
1342,0.8469281045751634,0.8097345132743363,0.7175958484146596,24.06768250465393,0.7414905592017016,0.8999207491090996,3,3,5,mcdcnnM,WESAD
1343,0.8697889861039629,0.8008849557522124,0.7044662232057792,31.627172708511356,0.7372028218351869,0.8694500181728637,4,4,5,mcdcnnM,WESAD
1344,0.8209929078014184,0.7389380530973452,0.6383116226754327,27.040790557861328,0.6575259941625434,0.8481286251637171,5,5,5,mcdcnnM,WESAD
